text ~ "djo*" order by key
text ~ "dpi*" order by key
text ~ "svk*" order by key
text ~ "ukt*" order by key
text ~ "gwf*" order by key
text ~ "zcx*" order by key
text ~ "ajq*" order by key
text ~ "brk*" order by key
text ~ "wvh*" order by key
text ~ "ecv*" order by key
text ~ "nyc*" order by key
text ~ "ckd*" order by key
text ~ "ucm*" order by key
text ~ "cgj*" order by key
text ~ "qwk*" order by key
text ~ "bmp*" order by key
text ~ "lqw*" order by key
text ~ "kfj*" order by key
text ~ "lqw*" order by key
text ~ "ttx*" order by key
text ~ "gpy*" order by key
text ~ "vhw*" order by key
text ~ "adw*" order by key
text ~ "dna*" order by key
text ~ "ybu*" order by key
text ~ "bgf*" order by key
text ~ "fvm*" order by key
text ~ "jin*" order by key
text ~ "xni*" order by key
text ~ "pll*" order by key
text ~ "zfz*" order by key
text ~ "sux*" order by key
text ~ "pbc*" order by key
text ~ "xxy*" order by key
text ~ "ttr*" order by key
text ~ "tnb*" order by key
text ~ "szq*" order by key
text ~ "gsk*" order by key
text ~ "exa*" order by key
text ~ "qxw*" order by key
text ~ "fly*" order by key
text ~ "rqm*" order by key
text ~ "mex*" order by key
text ~ "mvq*" order by key
text ~ "ego*" order by key
text ~ "frh*" order by key
text ~ "jim*" order by key
text ~ "xpp*" order by key
text ~ "daf*" order by key
text ~ "fpl*" order by key
text ~ "xfv*" order by key
text ~ "hvm*" order by key
text ~ "odd*" order by key
text ~ "mlg*" order by key
text ~ "gkp*" order by key
text ~ "dmz*" order by key
text ~ "ppf*" order by key
text ~ "dyz*" order by key
text ~ "grr*" order by key
text ~ "fal*" order by key
text ~ "tof*" order by key
text ~ "swe*" order by key
text ~ "psg*" order by key
text ~ "yrl*" order by key
text ~ "udn*" order by key
text ~ "uav*" order by key
text ~ "nix*" order by key
text ~ "zvd*" order by key
text ~ "uni*" order by key
text ~ "cdh*" order by key
text ~ "dpr*" order by key
text ~ "nzw*" order by key
text ~ "dsv*" order by key
text ~ "qqt*" order by key
text ~ "qur*" order by key
text ~ "ckl*" order by key
text ~ "wbo*" order by key
text ~ "cvu*" order by key
text ~ "akl*" order by key
text ~ "wyp*" order by key
text ~ "zdx*" order by key
text ~ "vup*" order by key
text ~ "uwf*" order by key
text ~ "gpz*" order by key
text ~ "drp*" order by key
text ~ "dps*" order by key
text ~ "fot*" order by key
text ~ "zck*" order by key
text ~ "sci*" order by key
text ~ "xrx*" order by key
text ~ "all*" order by key
text ~ "ihm*" order by key
text ~ "esq*" order by key
text ~ "kkd*" order by key
text ~ "mtp*" order by key
text ~ "yyl*" order by key
text ~ "aol*" order by key
text ~ "abl*" order by key
text ~ "ksj*" order by key
text ~ "qpw*" order by key
text ~ "xab*" order by key
text ~ "fob*" order by key
text ~ "zvl*" order by key
text ~ "lvj*" order by key
text ~ "qpu*" order by key
text ~ "env*" order by key
text ~ "dxo*" order by key
text ~ "nsf*" order by key
text ~ "ofk*" order by key
text ~ "zfi*" order by key
text ~ "mop*" order by key
text ~ "psc*" order by key
text ~ "sst*" order by key
text ~ "ciq*" order by key
text ~ "pvf*" order by key
text ~ "mwx*" order by key
text ~ "zht*" order by key
text ~ "sed*" order by key
text ~ "xra*" order by key
text ~ "duj*" order by key
text ~ "rxu*" order by key
text ~ "ldj*" order by key
text ~ "mjw*" order by key
text ~ "prv*" order by key
text ~ "wiu*" order by key
text ~ "hme*" order by key
text ~ "uwt*" order by key
text ~ "sui*" order by key
text ~ "dkn*" order by key
text ~ "zav*" order by key
text ~ "iqi*" order by key
text ~ "wzb*" order by key
text ~ "gzp*" order by key
text ~ "prb*" order by key
text ~ "nyq*" order by key
text ~ "wmp*" order by key
text ~ "bnc*" order by key
text ~ "qij*" order by key
text ~ "gfc*" order by key
text ~ "bma*" order by key
text ~ "yrc*" order by key
text ~ "sag*" order by key
text ~ "whx*" order by key
text ~ "sbe*" order by key
text ~ "crw*" order by key
text ~ "wvb*" order by key
text ~ "tlt*" order by key
text ~ "wto*" order by key
text ~ "lus*" order by key
text ~ "nsr*" order by key
